SUMLEV,Geo,ERENOV_V1,ERENOV_V2,ERENOV_V3,ERENOV_V4,ERENOV_V5,ERENOV_V6,ERENOV_V7,ERENOV_V8
SL050,34070505021,1,,,,1,,,
SL050,34070505058,2,,,,2,,,
SL050,34070505110,1,,,,1,,,
SL050,34070505173,1,,,1,,,,
SL050,34070505187,1,,,,1,,,
SL050,34070505902,2,,,2,,,,
SL050,34070909059,3,3,,,,,,
SL050,34070909217,1,,,,1,,,
SL050,34070909227,1,1,,,,,,
SL050,34070909339,1,,,,1,,,
SL050,34070909400,1,,,,1,,,
SL050,34070909409,1,,,,1,,,
SL050,34070909410,3,,,,3,,,
SL050,34072424056,1,,,,1,,,
SL050,34072424089,1,,,,1,,,
SL050,34072424098,1,,,,1,,,
SL050,34072424106,1,,,,1,,,
SL050,34072424212,1,1,,,,,,
SL050,34073434017,1,,,,1,,,
SL050,34073434083,1,,,,1,,,
SL050,34073737046,3,,,,3,,,
SL050,34073737067,1,,,,1,,,
SL050,34073737274,1,1,,,,,,
SL050,34073737352,1,,,,1,,,
SL050,34074040030,1,,,,1,,,
SL050,34074040128,1,,,,1,,,
SL050,34074040181,1,,,,1,,,
SL050,34074040194,2,,,,2,,,
SL050,34074040225,1,,,1,,,,
SL050,34074242004,1,,,,,,,1
SL050,34074242034,1,,,1,,,,
SL050,34074242073,2,,,2,,,,
SL050,34074242097,1,,,,1,,,
SL050,34074242134,2,,,2,,,,
SL050,34074242173,2,,,,,2,,
SL050,34074242204,1,,,,1,,,
SL050,34074242217,1,,,,1,,,
SL050,34074747010,1,1,,,,,,
SL050,34074747027,1,1,,,,,,
SL050,34074747055,1,,,,1,,,
SL050,34074747114,2,1,,,1,,,
SL050,34074747121,1,,,,1,,,
SL050,34074747155,1,,,,1,,,
SL050,34074747186,2,1,,,,,,1
SL050,34074949100,1,,,,1,,,
SL050,34074949164,1,,1,,,,,
SL050,34074949210,1,,1,,,,,
SL050,34080202010,1,,,1,,,,
SL050,34080202029,1,1,,,,,,
SL050,34080202061,2,,,2,,,,
SL050,34080202069,2,2,,,,,,
SL050,34081313028,1,1,,,,,,
SL050,34081313053,1,1,,,,,,
SL050,34081919046,2,2,,,,,,
SL050,34081919086,1,,,,1,,,
SL050,34081919190,1,1,,,,,,
SL050,34084545028,1,1,,,,,,
SL050,34084545051,1,1,,,,,,
SL050,34084545081,1,1,,,,,,
SL050,34084545085,1,1,,,,,,
SL050,34084545128,1,1,,,,,,
SL050,34084545168,1,1,,,,,,
SL050,34090808016,3,,,,3,,,
SL050,34090808019,3,1,2,,,,,
SL050,34090808022,1,,,,1,,,
SL050,34090808031,1,1,,,,,,
SL050,34090808049,2,,,,2,,,
SL050,34090808053,1,,,,1,,,
SL050,34090808054,1,1,,,,,,
SL050,34090808061,1,,,,1,,,
SL050,34090808073,2,2,,,,,,
SL050,34090808076,1,,,,1,,,
SL050,34090808089,1,,,,,1,,
SL050,34090808092,1,,,,1,,,
SL050,34090808099,1,,,,1,,,
SL050,34090808112,1,,,,1,,,
SL050,34090808113,1,,,,1,,,
SL050,34090808114,1,1,,,,,,
SL050,34090808117,1,,,,,,,1
SL050,34090808121,1,,,,,,,1
SL050,34090808127,2,,,,2,,,
SL050,34090808141,1,,,,1,,,
SL050,34090808147,2,,,,2,,,
SL050,34090808150,1,,,,1,,,
SL050,34090808165,2,2,,,,,,
SL050,34090808169,1,1,,,,,,
SL050,34090808175,3,,,,3,,,
SL050,34090808183,1,,,,1,,,
SL050,34090808194,1,,,,,,,1
SL050,34090808200,1,1,,,,,,
SL050,34090808255,1,,,,1,,,
SL050,34090808263,1,1,,,,,,
SL050,34090808265,1,,,,1,,,
SL050,34090808274,1,,,,1,,,
SL050,34090808285,1,,,,1,,,
SL050,34090808291,1,,,,,1,,
SL050,34090808298,1,,1,,,,,
SL050,34091717015,1,1,,,,,,
SL050,34091717036,1,,,,1,,,
SL050,34091717043,4,,,,4,,,
SL050,34091717065,1,,,,1,,,
SL050,34091717079,1,1,,,,,,
SL050,34091717091,2,,,,2,,,
SL050,34091717107,1,,,,1,,,
SL050,34091717145,2,,,,2,,,
SL050,34091717167,3,,,,3,,,
SL050,34091717176,1,,,,1,,,
SL050,34091717185,2,,,,2,,,
SL050,34091717189,1,,,,1,,,
SL050,34091717224,1,,,,1,,,
SL050,34091717902,1,1,,,,,,
SL050,34092525011,4,,,,3,,,1
SL050,34092525016,1,1,,,,,,
SL050,34092525023,1,,,,1,,,
SL050,34092525044,1,,,,1,,,
SL050,34092525062,2,,,,2,,,
SL050,34092525119,1,,,,1,,,
SL050,34092525120,1,1,,,,,,
SL050,34092525121,1,1,,,,,,
SL050,34092525137,1,1,,,,,,
SL050,34092525171,2,,,,2,,,
SL050,34092525172,1,,,,1,,,
SL050,34092525189,1,1,,,,,,
SL050,34092525227,1,,,,1,,,
SL050,34094343005,1,1,,,,,,
SL050,34094343095,1,1,,,,,,
SL050,34094343104,1,,,1,,,,
SL050,34094343109,1,1,,,,,,
SL050,34094343115,1,,,1,,,,
SL050,34094343161,1,1,,,,,,
SL050,34100303021,1,1,,,,,,
SL050,34100303048,1,1,,,,,,
SL050,34100303059,1,1,,,,,,
SL050,34100303065,1,1,,,,,,
SL050,34100303105,1,,,,,1,,
SL050,34101212005,2,2,,,,,,
SL050,34101212009,2,2,,,,,,
SL050,34101212040,1,,,,,,,1
SL050,34101212082,1,1,,,,,,
SL050,34101212084,4,4,,,,,,
SL050,34101212095,1,1,,,,,,
SL050,34101212135,4,4,,,,,,
SL050,34104646019,1,1,,,,,,
SL050,34104646060,2,2,,,,,,
SL050,34104646065,1,1,,,,,,
SL050,34104646077,2,1,,1,,,,
SL050,34104646139,1,1,,,,,,
SL050,34104646147,1,1,,,,,,
SL050,34104646184,1,1,,,,,,
SL050,34104646220,1,1,,,,,,
SL050,34104646230,1,1,,,,,,
SL050,34104646238,1,1,,,,,,
SL050,34104646250,1,1,,,,,,
SL050,34104646255,1,1,,,,,,
SL050,34104646258,1,1,,,,,,
SL050,34110606060,1,1,,,,,,
SL050,34110606062,1,,,,,1,,
SL050,34110606153,1,1,,,,,,
SL050,34121515003,1,,,,1,,,
SL050,34121515005,1,1,,,,,,
SL050,34121515013,2,1,,,1,,,
SL050,34121515016,2,,,2,,,,
SL050,34121515022,2,,,2,,,,
SL050,34121515030,1,1,,,,,,
SL050,34121515031,1,1,,,,,,
SL050,34121515035,1,1,,,,,,
SL050,34121515036,1,1,,,,,,
SL050,34121515044,1,,,1,,,,
SL050,34121515045,1,,,1,,,,
SL050,34121515054,1,1,,,,,,
SL050,34121515055,1,1,,,,,,
SL050,34121515059,1,1,,,,,,
SL050,34121515061,1,,,1,,,,
SL050,34121515067,2,1,,1,,,,
SL050,34121515068,1,,,1,,,,
SL050,34121515069,1,1,,,,,,
SL050,34121515078,2,2,,,,,,
SL050,34121515083,1,,,1,,,,
SL050,34122727026,1,,,,1,,,
SL050,34122727031,1,1,,,,,,
SL050,34122727033,3,,,3,,,,
SL050,34122727039,1,1,,,,,,
SL050,34122727063,3,,,3,,,,
SL050,34122727064,1,,,1,,,,
SL050,34123232001,1,,,,1,,,
SL050,34123232054,1,1,,,,,,
SL050,34123232058,1,,,,1,,,
SL050,34123636009,1,,,,1,,,
SL050,34123636017,1,1,,,,,,
SL050,34123636024,1,1,,,,,,
SL050,34123636036,1,1,,,,,,
SL050,34123636045,1,1,,,,,,
SL050,34123636047,1,1,,,,,,
SL050,34123636051,1,1,,,,,,
SL050,34123636057,1,1,,,,,,
SL050,34123636060,1,1,,,,,,
SL050,34123636902,1,,,,1,,,
SL050,34132828005,1,1,,,,,,
SL050,34132828079,1,1,,,,,,
SL050,34143030008,1,,,,1,,,
SL050,34143030016,1,1,,,,,,
SL050,34143030024,1,1,,,,,,
SL050,34143030028,2,,,,2,,,
SL050,34143030029,1,1,,,,,,
SL050,34143030030,1,,,,,1,,
SL050,34143030039,2,,,,2,,,
SL050,34143030041,1,,,1,,,,
SL050,34153131025,1,,,,1,,,
SL050,34153131050,1,,,,1,,,
SL050,34153131066,1,,,,1,,,
SL050,34153131082,2,,,,2,,,
SL050,34153131084,1,,,,1,,,
SL050,34153131097,1,,,,1,,,
SL050,34153131128,1,,,,1,,,
SL050,34153131142,1,,,,1,,,
SL050,34153131149,1,1,,,,,,
SL050,34153131159,1,,,,1,,,
SL050,34153131206,1,,,,1,,,
SL050,34153131216,1,,,1,,,,
SL050,34153131232,1,1,,,,,,
SL050,34153131238,1,,,1,,,,
SL050,34153131251,2,1,,,1,,,
SL050,34160101006,1,,,,1,,,
SL050,34160101014,1,1,,,,,,
SL050,34160101022,1,,,,1,,,
SL050,34160101028,1,,,,1,,,
SL050,34160101036,1,,1,,,,,
SL050,34160101049,1,1,,,,,,
SL050,34160101059,2,1,1,,,,,
SL050,34160101902,1,,,,1,,,
SL050,34162020003,1,,,,1,,,
SL050,34162020009,2,,,,2,,,
SL050,34162020010,1,,,,1,,,
SL050,34162020018,1,,,,1,,,
SL050,34162020022,2,,,,2,,,
SL050,34162020027,1,,,,1,,,
SL050,34162020031,1,,,,1,,,
SL050,34162020032,4,,,,4,,,
SL050,34162020036,2,2,,,,,,
SL050,34162020040,2,,,,2,,,
SL050,34162020045,4,,,,4,,,
SL050,34162020063,3,,,,3,,,
SL050,34162020067,2,,,,2,,,
SL050,34162020069,3,1,,,,2,,
SL050,34162020071,1,,,,1,,,
SL050,34162020074,2,1,,,1,,,
SL050,34162020078,2,,,,2,,,
SL050,34164848013,1,1,,,,,,
SL050,34164848017,1,1,,,,,,
SL050,34164848020,1,1,,,,,,
SL050,34164848024,1,,,,1,,,
SL050,34164848026,1,,,,1,,,
SL050,34164848036,1,1,,,,,,
SL050,34164848040,1,1,,,,,,
SL050,34164848045,2,1,,,1,,,
SL050,34164848071,1,1,,,,,,
SL050,34164848091,1,1,,,,,,
SL050,34164848096,1,,,,1,,,
SL050,34164848903,1,1,,,,,,
SL050,34164848912,1,,,,1,,,
SL050,34172626021,1,,,1,,,,
SL050,34172626036,3,3,,,,,,
SL050,34172626084,2,2,,,,,,
SL050,34172626130,2,,,,2,,,
